0.785641 & 1.39662 & 1.882043 & 0.370818
3.22543 & 5.056896 &0.66344 & 0.915667
5.928946 & 2.101307 & -0.163626	& 0.455216
5.441805 & 3.972753 & 1.353043 & 1.097964
2.591919 & 4.005664 & -0.40441 & 0.637241
3.715336 & 2.807006 & -1.480986 & -1.24866
4.74301 & 3.262926 & -1.043164 & -0.328912
0.488577 & 3.210707 & 1.340786 & -0.172914
2.942555 & 0.292499 & 0.848346 & 0.962548
3.455768 & 1.634079 & 0.544482 & 0.350029
0.462342 & 5.665893 & -0.660186 & 0.303326
1.423254 & 2.287269 & 0.083473 & -1.057809
4.328647 & 1.19563 & -0.087557 & 0.204471
5.020098 & 5.062463 & 0.659837 & -1.143996
5.447855 & 0.177845 & -2.044524	& -1.37947
4.303817 & 0.080442 & -1.500996	& 0.01448


	1.09 & 0.98 & 0.330001 & -0.78\\
	3.119999 & 5.25 & -0.120006 & 1.189995\\
	0.08 & 2.38 & 0.080001 & 0.099998\\
	0.540002 & 4.080001 & 1.940008 & 0.560004\\
	2.52 & 4.390001 & -0.749996 & -0.339994\\
	3.029999 & 2.939998 & -1.700006 & 1.079993\\
	4.249999 & 3.009999 & -0.840003 & -0.470004\\
	0.89 & 3.11 & 1.039999 & -0.059999\\
	2.759999 & 0.309999 & -1.64 & -1.360003\\
	3.140005 & 1.909998 & -0.379977 & 1.239994\\
	0.229999 & 5.709999 & 1.579993 & -0.550005\\
	1.91 & 2.46 & 1.549998 & 0.160001\\
	4.769997 & 0.960001 & 0.229993 & 0.830017\\
	5.1 & 4.630001 & 0.309998 & -0.649997\\
	4.970001 & 5.880002 & -1.179992 & -1.479999\\
	3.899999 & 0.2 & -0.460011 & 0.509997\\
