0.765571	4.955846	1.214195	-0.856316
3.262203	4.696923	-1.311587	-1.153053
3.612464	3.474456	-1.66245 	0.694028
0.197498	1.296264	-0.501769	-0.537709
0.471038	0.138814	0.306194	1.672977
5.043047	1.454935	1.370951	-0.191027
4.189324	2.089712	-0.001765	-1.216678
2.062754	4.391767	1.198254	0.016039
2.667193	2.441944	1.401831	-0.169222
1.533151	0.260699	-0.068389	0.642513
0.656371	2.654888	-0.069365	-0.386016
4.846945	0.319396	-0.602687	1.535837
4.445691	4.227211	-0.153006	-0.660268
5.184236	3.247345	-0.729837	-1.296016
2.18356		5.576673	-0.012327	1.635987
1.328953	1.273125	-0.388243	0.248924

4.904774	5.964657	-0.335396	0.453097
5.355533	1.121964	-1.508662	1.074806
1.483918	3.417443	-1.266143	-3.167041
2.558129	3.284975	0.908283	-0.559401
0.461148	3.142697	0.312806	0.073093
5.906527	5.950319	1.241642	1.261136
1.928517	4.242905	-0.676882	0.124976
5.143274	2.711293	-0.379052	0.201513
0.939833	4.400855	-0.453624	0.5832
2.291318	5.175148	-0.512571	0.843021
3.101149	1.356288	1.329336	0.312628
1.211347	2.001028	0.619666	-0.054953
3.808609	5.442688	0.071172	0.565964
5.847986	4.802067	0.146935	-0.473593
0.470261	1.096031	0.061674	-0.197527
2.887677	0.089642	0.430817	-1.060919
